image,label,mask
capsules/Data/Images/Normal/000.JPG,normal,
capsules/Data/Images/Normal/001.JPG,normal,
capsules/Data/Images/Normal/002.JPG,normal,
capsules/Data/Images/Normal/003.JPG,normal,
capsules/Data/Images/Normal/004.JPG,normal,
capsules/Data/Images/Normal/005.JPG,normal,
capsules/Data/Images/Normal/006.JPG,normal,
capsules/Data/Images/Normal/007.JPG,normal,
capsules/Data/Images/Normal/008.JPG,normal,
capsules/Data/Images/Normal/009.JPG,normal,
capsules/Data/Images/Normal/010.JPG,normal,
capsules/Data/Images/Normal/011.JPG,normal,
capsules/Data/Images/Normal/012.JPG,normal,
capsules/Data/Images/Normal/013.JPG,normal,
capsules/Data/Images/Normal/014.JPG,normal,
capsules/Data/Images/Normal/015.JPG,normal,
capsules/Data/Images/Normal/016.JPG,normal,
capsules/Data/Images/Normal/017.JPG,normal,
capsules/Data/Images/Normal/018.JPG,normal,
capsules/Data/Images/Normal/019.JPG,normal,
capsules/Data/Images/Normal/020.JPG,normal,
capsules/Data/Images/Normal/021.JPG,normal,
capsules/Data/Images/Normal/022.JPG,normal,
capsules/Data/Images/Normal/023.JPG,normal,
capsules/Data/Images/Normal/024.JPG,normal,
capsules/Data/Images/Normal/025.JPG,normal,
capsules/Data/Images/Normal/026.JPG,normal,
capsules/Data/Images/Normal/027.JPG,normal,
capsules/Data/Images/Normal/028.JPG,normal,
capsules/Data/Images/Normal/029.JPG,normal,
capsules/Data/Images/Normal/030.JPG,normal,
capsules/Data/Images/Normal/031.JPG,normal,
capsules/Data/Images/Normal/032.JPG,normal,
capsules/Data/Images/Normal/033.JPG,normal,
capsules/Data/Images/Normal/034.JPG,normal,
capsules/Data/Images/Normal/035.JPG,normal,
capsules/Data/Images/Normal/036.JPG,normal,
capsules/Data/Images/Normal/037.JPG,normal,
capsules/Data/Images/Normal/038.JPG,normal,
capsules/Data/Images/Normal/039.JPG,normal,
capsules/Data/Images/Normal/040.JPG,normal,
capsules/Data/Images/Normal/041.JPG,normal,
capsules/Data/Images/Normal/042.JPG,normal,
capsules/Data/Images/Normal/043.JPG,normal,
capsules/Data/Images/Normal/044.JPG,normal,
capsules/Data/Images/Normal/045.JPG,normal,
capsules/Data/Images/Normal/046.JPG,normal,
capsules/Data/Images/Normal/047.JPG,normal,
capsules/Data/Images/Normal/048.JPG,normal,
capsules/Data/Images/Normal/049.JPG,normal,
capsules/Data/Images/Normal/050.JPG,normal,
capsules/Data/Images/Normal/051.JPG,normal,
capsules/Data/Images/Normal/052.JPG,normal,
capsules/Data/Images/Normal/053.JPG,normal,
capsules/Data/Images/Normal/054.JPG,normal,
capsules/Data/Images/Normal/055.JPG,normal,
capsules/Data/Images/Normal/056.JPG,normal,
capsules/Data/Images/Normal/057.JPG,normal,
capsules/Data/Images/Normal/058.JPG,normal,
capsules/Data/Images/Normal/059.JPG,normal,
capsules/Data/Images/Normal/060.JPG,normal,
capsules/Data/Images/Normal/061.JPG,normal,
capsules/Data/Images/Normal/062.JPG,normal,
capsules/Data/Images/Normal/063.JPG,normal,
capsules/Data/Images/Normal/064.JPG,normal,
capsules/Data/Images/Normal/065.JPG,normal,
capsules/Data/Images/Normal/066.JPG,normal,
capsules/Data/Images/Normal/067.JPG,normal,
capsules/Data/Images/Normal/068.JPG,normal,
capsules/Data/Images/Normal/069.JPG,normal,
capsules/Data/Images/Normal/070.JPG,normal,
capsules/Data/Images/Normal/071.JPG,normal,
capsules/Data/Images/Normal/072.JPG,normal,
capsules/Data/Images/Normal/073.JPG,normal,
capsules/Data/Images/Normal/074.JPG,normal,
capsules/Data/Images/Normal/075.JPG,normal,
capsules/Data/Images/Normal/076.JPG,normal,
capsules/Data/Images/Normal/077.JPG,normal,
capsules/Data/Images/Normal/078.JPG,normal,
capsules/Data/Images/Normal/079.JPG,normal,
capsules/Data/Images/Normal/080.JPG,normal,
capsules/Data/Images/Normal/081.JPG,normal,
capsules/Data/Images/Normal/082.JPG,normal,
capsules/Data/Images/Normal/083.JPG,normal,
capsules/Data/Images/Normal/084.JPG,normal,
capsules/Data/Images/Normal/085.JPG,normal,
capsules/Data/Images/Normal/086.JPG,normal,
capsules/Data/Images/Normal/087.JPG,normal,
capsules/Data/Images/Normal/088.JPG,normal,
capsules/Data/Images/Normal/089.JPG,normal,
capsules/Data/Images/Normal/090.JPG,normal,
